"","title","salary","race","gender","sexuality","employ_status","yrs_role","yrs_exp","reports_ind","reports_dir","additonal_comp","notes"
"1","Digital Designer","60000","Asian, Pacific Islander","Woman (cisgender)","Straight","Full-Time","1","2","0","0","yearly bonus","Starting salary at $60,000, was low-balled because I just graduated"
"2","Research Analyst","61800","White","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","0",NA
"3","Editor","77500","White","Woman (cisgender)","Queer","Full-time","2","5","0","0","0","Starting salary $75,000, one 2% raise"
"4","Video Editor/Animator","80000","White","Woman (cisgender)","Straight","Full-Time","4","4","NULL","NULL","10% bonus",NA
"5","Product Designer","110000","White","Man (cisgender)","Straight","Full time","1","5","0","0","$500 one time bonus",NA
"6","Sales Planner","58500","White","Woman (cisgender)","Straight","Full-time","1","1.5","0","0","N/A","Yearly Bonus"
"7","Producer","80000","Afro-Latinx","Woman (cisgender)","Queer","Full-time","1","4","NULL","NULL","10% bonus",NA
"8","Marketing Manager","87000","White","Woman (cisgender)","Straight","Full-time","2","6","NULL","NULL","Bonus: 3k","Countered twice during negotiations."
"9","Senior Manager","110000","White","Woman (cisgender)","Straight","Full-time","1","10","1","0","100,000 base, 10,000 bonus",NA
"10","Sales Associate","42000","Hispanic/Latinx","Woman (cisgender)","Straight","Full-time","2","2","0","0","none","starting salary: $40,000"
"11","Associate Manager, Brand Marketing","58500","Caucasian","Woman (cisgender)","Straight","Full-time","3","4","0","0","N/A","Started as freelance on Edit team on an hourly minimum wage for 9 months. Moved to Marketing team with starting salary was $35k as an associate (less than I was making on edit). Stayed in role for 1.5 years with 1x $1000 raise until Conde's re-org and was promoted (with delayed salary raise) to Associate Manager. Have been in new role for 1.5 years with a verbal promise of promotion."
"12","Ad Ops Specialist","65000","white","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","1200 bonus",NA
"13","Sales Director","160000","White","Woman (cisgender)","Straight","Full-time","9","11","NULL","NULL","40000","Started at $50k (went to non-fancy school) was overworked and quit after only increasing to $67k after 3.5 years.  Hired by competitor for 40%  more.  Hired back by CN 45 days later at 30% increase.  Biggest salary increase came when I was hiring for a manager position to report into me (I was at director level) and the budget for that position was $20k more than my own salary, so I received a 25% increase."
"14","Analyst","65000","White","Non-Binary","Queer","Full-time","1","3","0","0","None",NA
"15","Senior Social Media Manager","75000","Asian/white","Woman (cisgender)","Queer","Full-time","1","8","0","0","n/a","I was in my previous role at another CN brand for 3 years, and when trying to negotiate for a higher salary at my current role they basically told me they couldn't go any higher percentage-wise because they knew what my previous salary was. I strongly believe an outside hire would have been able to pull a higher salary."
"16","Marketing Manager","85000","White","Woman (cisgender)","Straight","Full-time","1","4","NULL","NULL","None",NA
"17","Editorial Coordinator","50000","White","Man (cisgender)","Straight","Full-time","1","1","NULL","NULL","Overtime Eligible",NA
"18","Senior Editor","103000","White","Woman (cisgender)","Straight","Full-time","5","10","2","1","Paid for branded video","Starting salary: $95,000 (negotiated +$5k after making a lateral move from another company). Annual merit increases/cost of living."
"19","Associate Manager","87500","White","Woman (cisgender)","Straight","Full-time","2","10","0","0","none","job and interview were for manager position, was lowballed with title and salary upon offer"
"20","Senior Manager","110000","White","Woman (cisgender)","Straight","Full-time","1","10","1","3","None","Starting salary was 105K... asked for an additional 10k but was told 5k was the most they could do. Current salary is 10k less than I made at my prior role with the same job title at an equally large company in a smaller city. Was told I was hired in at too low of a job title but that I'm not up for promotion yet because I've only now been here for a year."
"21","Sales Associate","42000","White","Woman (cisgender)","Straight","Full-time","2","2","NULL","NULL","0",NA
"22","Editorial Assistant","40500","white","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","none",NA
"23","Senior Analyst","70000","White","Woman (cisgender)","Straight","Full-time","1","2","0","0","n/a",NA
"24","Marketing Director","115000","White","Woman (cisgender)","Straight","Full-time","1","8","0","0","5000","40K starting salary, latest and largest salary increase (w/in Conde), was helped by knowledge of others salary in this role"
"25","Manager, Social Media","68000","black american","Woman (cisgender)","Straight","Full-time","2","5","0","0","N/A","i started at condé in 2017 as an associate social media manager making $48K and by the end of the year i received a COLA adjustment that brought my salary to ~$52K. in 2018, i received a 10% merit raise and that december i was promoted to social media manager with a new salary of $60K. in june of 2019 i got a job offer elsewhere, brought it to management and the best they could do was $68K."
"26","Research Manager","95000","Hispanic/Latinx","Woman (cisgender)","Straight","Full-time","1","3","0","0","10% annual bonus","Originally offered a base of 90k. Negotiated for 5,000 more to meet the lowest end of my salary requirements that we agreed to at the start of my interview."
"27","Staff Reporter","75000","White","Woman (cisgender)","Straight","Full-time","1","5","0","0","0",NA
"28","Senior Editor","89000","White","Woman (cisgender)","Straight","Full-time","2","7","NULL","NULL","None","I've been consistently told that additional financial compensation is ""not possible right now"" despite positive reviews and a job description that significantly expanded."
"29","Sales Planner","58500","White","Woman (cisgender)","Straight","Full-time","1","3","3","2","Sales Planner Bonus",NA
"30","Associate Editor","65000","White","Woman (cisgender)","Straight","Full-time","1","4","NULL","NULL","Don't remember...","Negotiated up from $55k if I'm remembering correctly"
"31","Sales & Product Director","135000","White","Woman (cisgender)","Queer","Full-time","1","6","1","0","Quarterly commission","I work in a niche, male-dominated field and CN pays me more than market competitors – I believe bc of my subject area knowledge."
"32","Assistant Editor","39500","White","Woman (cisgender)","Straight","Full-time","3","4","0","0","""overtime"" lol not much",NA
"33","Analyst","70000","Asian","Non-Binary","Lesbian","Full-time","1","2","0","0","Bonus based on performance beginning 2021max payout of 12k","I was advised to low-ball to obtain an offer, but then my recruiter re-upped my final offer."
"34","Ad Operations Specialist","69700","White","Woman (cisgender)","Straight","Full-time","2","5","0","0","$1,500 annual discretionary bonus","Starting salary: $55k"
"35","Sales Planner","58500","Afro Latinx","Woman (cisgender)","Straight","Full-time","1","2","1","0","half year bonus","none"
"36","Senior Editor","85000","White","Woman (cisgender)","Straight","Full-time","4","8","NULL","NULL","none",NA
"37","Creative Director, Branded","1e+05","White","Woman (cisgender)","Queer","Contract","1","8","NULL","NULL","Benefits",NA
"38","articles editor","120000","Asian, Pacific Islander","Man (cisgender)","Straight","Full-time","1","10","0","2","none",NA
"39","Entertainment Associate","45000","White","Woman (cisgender)","Straight","Full-time","1","1","0","0","overtime",NA
"40","Junior Designer","60000","Asian","Woman (cisgender)","Straight","Full-time","3","4","0","0","none","I was promoted into this role from an entry-level position. I strongly believe an outside hire would have been able to leverage a higher offer."
"41","Manager","77000","White","Woman (cisgender)","Straight","Full-time","2","6","0","0","none","Originally offered $70k for the role, but asked for an additional $5k, which was accepted. Received one, 3% merit raise last year"
"42","Director, Revenue Org","130000","White","Woman (cisgender)","Straight","Full-time","1","12","5","5","Up to $30k bonus based on rev. goal performance","Please allow managers visibility and participation in salary discussions for their direct and indirect reports. Without this, visibility to pay disparities is limited to only a few."
"43","Social Media Manager","60000","white","Woman (cisgender)","Straight","Full-time","3","5","NULL","NULL","n/a",NA
"44","Senior Social Media Manager","75000","White","Woman (cisgender)","Straight","Full-time","1","4","1","NULL","0",NA
"45","Software Engineer 2","120000","White","Man (cisgender)","Straight","Full-time","2","4","NULL","NULL","10% bonus","Previous field-relevant experience"
"46","Editorial Assistant","42000","Mixed (white, east asian)","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","0","This was my starting salary. I've not received a raise nor a title change since joining CNP!"
"47","Associate Director, Brand Marketing","87000","White","Woman (cisgender)","Queer","Full-time","2","7","0","0","0","Tried to have a conversation about a raise two different times after the one year mark. The first time, my supervisor told me that we were on the verge of a reorganization and no raises would be given prior to that. After the reorganization, I was told that it wasn't worth having the conversation because there wasn't any money after the re-org. Several weeks later, that division spent $120K to throw an awards ceremony for the marketing dept."
"48","Creative Strategist","86500","White","Man (cisgender)","Straight","I left the company last August","3","4","0","0","$5000 / half year bonus ($2500 in Q2, $2500 in Q4)","When I got my first raise/promotion at Conde, my boss failed to properly communicate my promotion and salary with HR, and it took SEVEN months for me to finally get paid correctly. They ended up having to back pay me, which fucked up my taxes. My boss blamed it on me and said that I ""should've noticed sooner."" She still works there. She also ""unknowingly"" publicly created a google doc with my entire team's salary breakdown, including personal notes for everyone on her team."
"49","Product Designer","90000","Asian","Woman (cisgender)","Straight","Full-time","1","2","0","0","0","negotiated once from initial offer of 85k"
"50","Staff writer","64000","Whte","Woman (cisgender)","Straight","Full-time","1","3","NULL","NULL","0",NA
"51","Senior Social Media Manager","75000","White","Woman (cisgender)","Straight","Full-time","4","8","1","0","0","Starting salary was 55,900 and had an extremely emotionally abuse manager for years who I continually reported to my manager, my manager's manager, HR, and more. Nothing came of that."
"52","Fact Checker","57800","Chinese-American","Man (cisgender)","Straight","Full-time","1","1","NULL","NULL","0",NA
"53","Photo Editor / Director","1e+05","White","Woman (cisgender)","Straight","Full-time","10","20 or more","NULL","2","none","Started first job at Conde - which I am not counting here - at $55K - which was about 25 years ago"
"54","Product Manager","130000","White","Woman (cisgender)","Straight","Full-time","1","5","0","0","0","Was told at hiring that I would be eligible for a yearly bonus at manager's discretion, then found out they had to ""put me in the bonus pool"" which is a small subset of people in the company, and I wasn't in that pool."
"55","Features director","110000","white","Woman (cisgender)","Queer","Full-time","3","6","0","2","0","Started at 105K (was offered 100k, asked for 110k, 105k was the counter and final that I accepted) and got a bump to my current salary when I was promoted after one year in starting job (which was food and fitness director). Thanks for doing this, whoever you all are!"
"56","Channel Manager","80000","White","Man (cisgender)","Queer","Full-time","2","4","0","5","Eligible for 5% bonus","Cost of living increase (I think like 1-2% at end of the year)"
"57","Associate Editor","65000","Black","Woman (cisgender)","Straight","Full-time","1","3","NULL","NULL","I'm also paid separately for my writing. (Usually around $1200/piece pre-taxes.)","Was promoted from an EA job and offered 58K to take on this Associate Editor role. Negotiated up to 65K."
"58","Associate Producer","60000","White","Woman (cisgender)","Straight","Full-time","1","2","0","0","0","Freelanced 6 months before becoming staff"
"59","Senior Web Producer","59500","Latinx","Man (cisgender)","Straight","Full-time","5","20 or more","0","0","none",NA
"60","Senior writer","1e+05","White","Woman (cisgender)","Bisexual","Full-time","1","8","0","0","None",NA
"61","Photo Editor","44500","White","Woman (cisgender)","Queer","Full-time","1","3","NULL","NULL","none","had a competing job offer and tried to negotiate but was told my salary was non-negotiable"
"62","Senior graphic designer","50000","Hispanic/Latinx","Non-Binary","Queer","Full-time","1","9","3","1","$500 bonus","Location: Texas. NYC pay will be different from Oklahoma City, so I think it’s important to take this into account."
"63","Senior Manager","95000","White","Woman (cisgender)","Straight","Full-time","2","8","0","1","10000","My salary is low because I have been at Conde Nast for over 7 years."
"64","Product Manager","120000","White","Woman (cisgender)","Straight","Full-time","1","3","0","0","none",NA
"65","UX Researcher","110000","Asian","Woman (cisgender)","Bisexual","Full-time","1","3","NULL","NULL","None","Had a high salary in Boston so took the job if the adjustment made sense to NYC"
"66","Manager, Strategy & Analytics","76000","White","Woman (cisgender)","Straight","Full-time","3","5","0","0","Quarterly bonus","Work in a unique/niche position and started out as an associate manager where I was offered $60K and countered receiving $65K, have been promoted once."
"67","Digital Account Manager","75000","White","Woman (cisgender)","Straight","Full-time","1","6","2","0","$10K Bonus",NA
"68","Producer","78000","Asian American","Woman (cisgender)","Prefer Not to Say","Freelance","1","3","NULL","NULL","none","Rate is $1500/wk so I don't get paid certain weeks of the year, etc. so yearly salary is lower."
"69","Producer","75000","white","Woman (cisgender)","Straight","Full-time","4","6","NULL","NULL","none",NA
"70","Video Associate Producer","65000","black","Woman (cisgender)","Straight","Full-time","2","6","NULL","NULL","10% annual bonus minimum",NA
"71","Senior Editor","75000","white","Woman (cisgender)","Queer","Full-time","3","8","0","0","N/A",NA
"72","Manager","95000","Black","Woman (cisgender)","Lesbian","Full-time","2","2","3","0","10% bonus","I started at $65k in the data division and have been promoted twice."
"73","Associate Editor","65000","Afro-Latinx","Woman (cisgender)","Straight","Full-time","5","10","1","1","none","Was low-balled for this salary after having a much higher salary and title in my last staff position at Conde, and when asked if they weren't supposed to match what I made the last time they told me they were matching what I was making in my last position with them, which was freelance. I also got much less that the editor before me."
"74","Social Video Producer (but lol haven't had an official title change from ""community manager"" 5 yrs ago)","67000","white","Woman (cisgender)","Straight","Full-time","5","8","0","0","annual bonus ~$4K I think","Started at $50K in 2015 at CNE to social manage The Scene (lol), got a bump and ""associate editor of The Scene"" title (that apparently never changed in the system) to $66K in 2016. Since then, I've taken on multiple roles and responsibilities, ranging from sr social manager (at the time, an integral part of an entire new brand launch at CN), newsletter writer, video director and producer, social marketing strategist, temp. senior social manager for Allure and Glamour (between managers, included onboarding new junior staff), and now social video producer. My title has NEVER been officially changed — Workday still lists me as a community manager — and every time I've brought that up + salary and asked for an official promotion, I've been dangled along with ""do this and you'll get it"" or ""well we can't put in for it until March."""
"75","Marketing Manager","82500","Asian","Woman (cisgender)","Queer","Full-time","1","5","1","1","7500",NA
"76","Research Manager","93000","Black","Man (cisgender)","Straight","Full-time","3","5","NULL","NULL","10% Bonus","My starting salary was 90K, which was way below market value. I was told I couldn't negotiate higher but was promised rapid growth in the company. Other than the yearly inflation increase, I haven't received any raise or promotion"
"77","Data Analyst","65000","Asian","Woman (cisgender)","Straight","Full-time","1","1","NULL","NULL","$5000 bonus based on performance",NA
"78","Senior Manager, Marketing","105000","White","Woman (cisgender)","Straight","Full-time","1","9","NULL","NULL","10% annual bonus",NA
"79","Manager, Analytics","84150","White","Woman (cisgender)","Straight","Full-time","2","4","0","1","Up to $12k in the beginning of the following year","Starting salary: $82,500 with a 2% cost of living raise. Promotion has been put off twice"
"80","Visuals Research Editor","40000","Asian","Woman (cisgender)","Straight","Contract","2","6","0","0","Overtime pay","I was actually ""let go"" of my contract when I asked for a raise after being there for more than two years and taking over a manager role after the previous manager left and felt I should have had my salary increased since my responsibilities increased. Instead my contract was terminated after a month of having my one on one with my director for a salary increase. I was let go via email and not in person."
"81","Marketing Manager","90000","White","Woman (cisgender)","Straight","Full-time","1","5","0","0","5% bonus","Negotiated for some of the bonus to be put into base salary instead"
"82","Analyst","65000","White","Woman (cisgender)","Straight","Full-time","1","2","0","0","0",NA
"83","Senior Software Engineer","120000","White","Woman (cisgender)","Straight","Full-time","1","4","3","1","10% bonus","Started at 100k one level below. Promoted after 1.5 years when I explicitly asked for one. I think my initial salary ask was below the range for the role because they offered me more than I asked for."
"84","Sales Planner","58000","White","Woman (cisgender)","Straight","Full-time","1","1","0","0","bonus of $800",NA
"85","Associate","45000","Asian","Woman (cisgender)","Straight","Full-time","1","1","0","0","Eligible for overtime","Starting salary offer: $40k, negotiated with competing offer, first full-time job out of college"
"86","Producer","58500","Black/African-American","Woman (cisgender)","Straight","Full-time","1","4","NULL","NULL","N/A","Worked two years as a permalancer assistant, then was promoted to my current staff position. My original salary was $35K"
"87","Senior Marketing Manager","105000","White","Woman (cisgender)","Straight","Full-time","3","6","0","0","none","Previous company with same title $68k. CN Marketing Manager starting was $95k. Many marketers have bonus included, I have not been able to get added."
"88","Editor and Project Manager","110000","White","Woman (cisgender)","Straight","Full-time","1","15","0","0","Also earn 20K+ annually doing freelance work for other CN teams on nights and weekends.",NA
"89","Editorial Producer","63240","Latinx","Man (cisgender)","Queer","Full-time","1","7","0","0","none","negotiated twice to bump the salary + ensure cost of living increase, would not have been possible without union representation"
"90","Editorial Coordinator","42000","White","Woman (cisgender)","Straight","Full-time","3","5","0","1","Occasionally paid separately for writing (rate varies).","Started part-time (contracting) at an hourly rate ($10.75/hr, 1 day/week) in 2016; hired into current full-time position in 2017 at $36k. I have a relevant advanced degree in addition to my work experience."
"91","Manager","62000","white","Woman (cisgender)","Straight","Full-time","3","4","NULL","2","0",NA
"92","Assistant Photo Editor","45000","White","Woman (cisgender)","Queer","Full-time","1","1","0","0","n/a","Started freelance, offered 39,000 (much lower than freelance rate) negotiated up to 45,000"
"93","Editorial Assistant","42000","White","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","None","Asked for a raise / promotion before pandemic, and there was a general consensus that it should happen, but that has been postponed indefinitely. No cost-of-living or other salary adjustments."
"94","Manager, Social","75000","White","Man (cisgender)","Straight","Full-time","1","5","0","0","0",NA
"95","Senior Editor","1e+05","White","Woman (cisgender)","Queer","Full-time","2","18","2","3","0","I've been in my current role 2 years, but I've been with my brand for 15 years, and held (I believe) 5 different positions before the one I have now."
"96","Supervising Producer","120000","East Asian / Arab","Woman (cisgender)","Queer","Freelance","1","11","3","5","none","originally applied for a FT position but was offered freelance"
"97","Research Editor","60000","Biracial (White, Indian)","Woman (cisgender)","Queer","Full-time","3","5","0","0","0","I was a GES freelancer for two years before I can on board as a staffer"
"98","Senior Designer","115000","White","Woman (cisgender)","Straight","Full-time","2","7","NULL","NULL","0",NA
"99","Analytics Managaer","87500","Hispanic/Latinx","Woman (cisgender)","Straight","Full-time","2","6","1","0","None, but I have been told that Management level and higher there is a bonus that is offered - I,however, am not inclued","I was overlooked for the senior role that was open on my team after asking to interview for it (VP decided to hire a white Man peer and I was not given the chance to interview) - my promotion then got dragged on for a few months and had to threaten to leave and take my promotion without pay - eventually I was offered 5k more to be a manager."
"100","Marketing Manager","115000","White","Man (cisgender)","Straight","Full-time","1","4","0","0","None",NA
"101","Software Engineer 2","145000","White","Man (cisgender)","Queer","Full-time","4","10","0","0","10% bonus",NA
"102","Anlyst","60000","Black","Woman (cisgender)","Straight","Full-time","1","3","NULL","NULL","N/A",NA
"103","Senior Director","120000","Asian","Woman (cisgender)","Straight","Full-time","10","15","NULL","NULL","5k bonus","5k promotions are not realistic with the amount of increased of responsibilities."
"104","Associate Director, Brand Marketing","110000","White","Woman (cisgender)","Straight","Full-time","2","8","0","0","4K Bonus based upon performance","Started my career at CN making $32K as an Associate. Left for a competitor, came back years later and negotiated heavily to where I'm at now. Was on track for a promotion pre-COVID, albeit the conversations were in play for 3 months at that point."
"105","Staff Writer","80000","White","Man (cisgender)","Straight","Full-time","1","5","0","0","0","20K raise after receiving competing offer"
"106","Ad Specialist","68000","White","Woman (cisgender)","Straight","Full-time","1","3","NULL","NULL","NA",NA
"107","Senior Analyst","70000","White","Woman (cisgender)","Straight","Full-time","2","4","NULL","NULL","potential for up to $5K bonus based on brand's performance","Started at $55K (originally offered $50K), received first raise and title change after being at the company for over 1.5 yrs and months after being placed in a completely new position within the company without consultation"
"108","Photo Editor","65000","Asian","Man (cisgender)","Straight","Full-time","2","3","NULL","NULL","0","over 1.5 years as GES permalancer before converted to full-time"
"109","Associate Director of Marketing","87000","White","Woman (cisgender)","Straight","Full-time","2","6","NULL","0","$4K bonus","went through numerous managers since starting 2 years ago. no proper review to grow and/or receive raise"
"110","Finance Director","115000","White","Woman (cisgender)","Asexual","Full-time","1","13","1","0","Up to $15K bonus, dependent on revenue (lol)",NA
"111","Marketing Manager","85000","ASIAN","Woman (cisgender)","Straight","Full-time","1","8","NULL","1","7500",NA
"112","Producer","58500","Hispanic/White","Woman (cisgender)","Straight","Full-time","2","3","NULL","NULL","none",NA
"113","Research Editor","65000","White","Woman (cisgender)","Straight","Full-time","3","5","0","0","0","Starting wage: 23.50/hour, no PTO, few benefits as a GES contractor, negotiated raise to $25/hour after about 2 years, became salaried/staff after about 2.5 years"
"114","Editorial Assistant","36000","Black","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","Plus overtime",NA
"115","Researcher","45000","White","Woman (cisgender)","Bisexual","Full-Time Freelancer","1","4","0","0","Freelance writing income approx. $2500/yr",NA
"116","Analyst","80000","Mixed / Latinx","Man (cisgender)","Straight","Contract","1","5","0","0","none",NA
"117","Staff writer","70","White","Woman (cisgender)","Straight","Full-time","1","7","0","0","0","because I'm paid through commerce rather than my specific brand, my salary is higher than the people of comparative levels who are in traditional editorial positions"
"118","Marketing Manager","65000","White","Woman (cisgender)","Straight","Full-time","2","4","1","0","7500",NA
"119","Executive Director","13000","White","Woman (cisgender)","Straight","Full-time","3","9","2","5","Up to 10k bonus based on company revenue",NA
"120","Associate Editor","58500","White","Man (cisgender)","Gay","Full-time","4","8","NULL","NULL","0","Started as a ""full-time freelancer"", was eventually offered a full-time position at an insulting salary and declined it, choosing instead to continue freelance (in the office 5 days/week) until the position I am in now came along a year and a half ago. CN refuses to acknowledge that I've been at the company 4.5 years, instead believing I've only been here since I started my current role."
"121","Copy Editor","85000","White","Man (cisgender)","Queer","Full-time","6","10","0","0","0",NA
"122","Aud Dev Manager","1e+05","White","Man (cisgender)","Straight","Full-time","3","5","NULL","NULL","0","Originally offered 70k, negotiated to 80k, and got to 100k leveraging an offer from another job."
"123","Art Assistant","45000","White","Woman (cisgender)","Bisexual","Full-time","2","3","3","1","n/a","I started as a full-time freelancer at $20/hr (negotiated from $15/hr) and negotiated to $45k when I was transitioned to staff. I asked for $58k (based off of executive assistant salaries on Glassdoor), they countered with $40k, and this is where we landed"
"124","Staff Writer","74000","White","Woman (cisgender)","Bisexual","Full-time","2","4","0","0","I was given a one time bonus at the end of last year",NA
"125","Design Lead","145000","White","Man (cisgender)","Straight","Full-time","1","8","0","4","$10k sign-on bonus",NA
"126","Senior Manager","110000","White","Woman (cisgender)","Straight","Full-time","3","6","0","0","Bonus if goals are hit",NA
"127","Video Producer","67000","white","Woman (cisgender)","Bisexual","Full-time","3","5","NULL","NULL","none",NA
"128","Associate Producer","60000","Asian American","Woman (cisgender)","Queer","Full-time","2","3","NULL","NULL","10% Bonus","I was told I would never get a promotion unless I was getting a title change. I started as permalance. To go staff they offered me less than I was making as freelance employee and I had been working at CN for 2 years."
"129","Ad Operations Specialist","70000","White","Man (cisgender)","Gay","Full-time","1","5","0","0","$1,500 Annual Discretionary Bonus","Negotiated up from $65K."
"130","Production Manager","78000","White","Man (cisgender)","Straight","Contract","1","9","NULL","NULL","0",NA
"131","Aud Dev Manager","85000","White","Woman (cisgender)","Straight","Full-time","1","8","0","0","5500 yearly bonus",NA
"132","Senior editor","95000","White","Woman (cisgender)","Straight","Full-time","4","10","3","3","Annual cost of living increase of 2% (my first year, I only got 1%)","I started working at Conde in 2016, and my starting salary (for a job without ""senior"" in the title) was 89k. I got a 10% raise in March of 2019 and a promotion to senior editor (it was only a title change, I didn't get any additional money) in August 2019."
